Code,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,clean_content,searched_unique_singleword,unsearched_unique_singleword,searched_pairword,searched_unique_singleword_synonym,searched_words,ranking_score,final_category
102294940,94079,80,1,102294900.0,94075,80.0,Heifers and cows of the spotted Simmental breed,6,heifer cow spotted simmental breed,,heifer cow spotted simmental breed,,,,6,"heifer cow spotted simmental breed Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102294950,94080,80,1,102294900.0,94075,80.0,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds",6,bull schwyz fribourg spotted simmental breed,,bull schwyz fribourg spotted simmental breed,,,,6,"bull schwyz fribourg spotted simmental breed Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102294990,94081,80,1,102294900.0,94075,80.0,Other,6,,,,,,,6,"other Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102295100,94082,10,0,102291000.0,96757,10.0,Of a weight exceeding 300 kg,4,weight exceeding kg,weight,exceeding kg,,weight free_weight exercising_weight weightiness system_of_weights weight_unit weighting burden burthen weight_down slant angle,weight free_weight exercising_weight weightiness system_of_weights weight_unit weighting burden burthen weight_down slant angle,8,"weight free_weight exercising_weight weightiness system_of_weights weight_unit weighting burden burthen weight_down slant angle Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102295100,94083,20,0,102295100.0,94082,10.0,Heifers (female bovines that have never calved),5,heifer female bovine never calved,bovine,heifer female never calved,,bovine bovid,bovine bovid,7,"bovine bovid Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102295100,94084,80,0,102295100.0,94083,20.0,For slaughter,6,slaughter,,slaughter,,,,6,"slaughter Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102295110,94085,80,1,102295100.0,94084,80.0,"Not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg",7,yet permanent tooth weight les kg kg,tooth weight,yet permanent les kg kg,,tooth weight free_weight exercising_weight weightiness system_of_weights weight_unit weighting burden burthen weight_down slant angle,tooth weight free_weight exercising_weight weightiness system_of_weights weight_unit weighting burden burthen weight_down slant angle,5,"tooth weight free_weight exercising_weight weightiness system_of_weights weight_unit weighting burden burthen weight_down slant angle Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102295190,94086,80,1,102295100.0,94084,80.0,Other,7,,,,,,,5,"other Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102295900,94087,80,0,102295100.0,94083,20.0,Other,6,,,,,,,6,"other Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102295911,94088,10,0,102295900.0,94087,80.0,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed",7,heifer grey brown yellow mountain breed spotted pinzgau breed,,heifer grey brown yellow mountain breed spotted pinzgau breed,,,,5,"heifer grey brown yellow mountain breed spotted pinzgau breed Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102295911,94089,80,1,102295911.0,94088,10.0,"Not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg",8,yet permanent tooth weight les kg kg,tooth weight,yet permanent les kg kg,,tooth weight free_weight exercising_weight weightiness system_of_weights weight_unit weighting burden burthen weight_down slant angle,tooth weight free_weight exercising_weight weightiness system_of_weights weight_unit weighting burden burthen weight_down slant angle,4,"tooth weight free_weight exercising_weight weightiness system_of_weights weight_unit weighting burden burthen weight_down slant angle Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102295919,94090,80,1,102295911.0,94088,10.0,Other,8,,,,,,,4,"other Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102295921,94091,10,0,102295900.0,94087,80.0,Of the Schwyz and Fribourg breeds,7,schwyz fribourg breed,,schwyz fribourg breed,,,,5,"schwyz fribourg breed Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102295921,94092,80,1,102295921.0,94091,10.0,"Not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg",8,yet permanent tooth weight les kg kg,tooth weight,yet permanent les kg kg,,tooth weight free_weight exercising_weight weightiness system_of_weights weight_unit weighting burden burthen weight_down slant angle,tooth weight free_weight exercising_weight weightiness system_of_weights weight_unit weighting burden burthen weight_down slant angle,4,"tooth weight free_weight exercising_weight weightiness system_of_weights weight_unit weighting burden burthen weight_down slant angle Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102295929,94093,80,1,102295921.0,94091,10.0,Other,8,,,,,,,4,"other Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102295931,94094,10,0,102295900.0,94087,80.0,Of the spotted Simmental breed,7,spotted simmental breed,,spotted simmental breed,,,,5,"spotted simmental breed Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102295931,94095,80,1,102295931.0,94094,10.0,"Not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg",8,yet permanent tooth weight les kg kg,tooth weight,yet permanent les kg kg,,tooth weight free_weight exercising_weight weightiness system_of_weights weight_unit weighting burden burthen weight_down slant angle,tooth weight free_weight exercising_weight weightiness system_of_weights weight_unit weighting burden burthen weight_down slant angle,4,"tooth weight free_weight exercising_weight weightiness system_of_weights weight_unit weighting burden burthen weight_down slant angle Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102295939,94096,80,1,102295931.0,94094,10.0,Other,8,,,,,,,4,"other Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102295991,94097,10,0,102295900.0,94087,80.0,Other,7,,,,,,,5,"other Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102295991,94098,80,1,102295991.0,94097,10.0,"Not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg",8,yet permanent tooth weight les kg kg,tooth weight,yet permanent les kg kg,,tooth weight free_weight exercising_weight weightiness system_of_weights weight_unit weighting burden burthen weight_down slant angle,tooth weight free_weight exercising_weight weightiness system_of_weights weight_unit weighting burden burthen weight_down slant angle,4,"tooth weight free_weight exercising_weight weightiness system_of_weights weight_unit weighting burden burthen weight_down slant angle Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102295999,94099,80,1,102295991.0,94097,10.0,Other,8,,,,,,,4,"other Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102296100,94100,10,0,102295100.0,94082,10.0,Cows,5,cow,,cow,,,,7,"cow Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102296100,94101,80,1,102296100.0,94100,10.0,For slaughter,6,slaughter,,slaughter,,,,6,"slaughter Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102296900,94102,80,0,102296100.0,94100,10.0,Other,6,,,,,,,6,"other Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102296910,94103,80,1,102296900.0,94102,80.0,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed",7,heifer grey brown yellow mountain breed spotted pinzgau breed,,heifer grey brown yellow mountain breed spotted pinzgau breed,,,,5,"heifer grey brown yellow mountain breed spotted pinzgau breed Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102296920,94104,80,1,102296900.0,94102,80.0,Of the Schwyz and Fribourg breeds,7,schwyz fribourg breed,,schwyz fribourg breed,,,,5,"schwyz fribourg breed Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102296930,94105,80,1,102296900.0,94102,80.0,Of the spotted Simmental breed,7,spotted simmental breed,,spotted simmental breed,,,,5,"spotted simmental breed Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102296990,94106,80,1,102296900.0,94102,80.0,Other,7,,,,,,,5,"other Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102299100,94118,10,0,102295100.0,94082,10.0,Other,5,,,,,,,7,"other Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102299100,94119,80,0,102299100.0,94118,10.0,For slaughter,6,slaughter,,slaughter,,,,6,"slaughter Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102299110,94120,80,1,102299100.0,94119,80.0,"Not yet having any permanent teeth, of a weight of not less than 350 kg but not more than 500 kg",7,yet permanent tooth weight les kg kg,tooth weight,yet permanent les kg kg,,tooth weight free_weight exercising_weight weightiness system_of_weights weight_unit weighting burden burthen weight_down slant angle,tooth weight free_weight exercising_weight weightiness system_of_weights weight_unit weighting burden burthen weight_down slant angle,5,"tooth weight free_weight exercising_weight weightiness system_of_weights weight_unit weighting burden burthen weight_down slant angle Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
